dac_code,iSense,VSense,VLoad,iSense,VSense,VLoad,iSense,VSense,VLoad,iSense,VSense,VLoad,iSense,VSense,VLoad,iSense,VSense,VLoad,iSense,VSense,VLoad,iSense,VSense,VLoad,iSense,VSense,VLoad,iSense,VSense,VLoad
13824,6965070,6448726,6423496,6964966,6448716,6423502,6964662,6448718,6423492,6966112,6448720,6423492,6963329,6448723,6423492,6964152,6448718,6423506,6964923,6448723,6423508,6966153,6448724,6423492,6966125,6448718,6423500,6965756,6448730,6423492
14080,6982450,6474961,6450082,6983862,6474965,6450081,6982708,6474967,6450080,6981677,6474971,6450079,6982498,6474972,6450089,6983006,6474980,6450086,6983223,6474958,6450090,6983820,6474962,6450074,6982418,6474955,6450082,6983116,6474967,6450079
14336,7000614,6501194,6476642,7002106,6501192,6476644,7003565,6501194,6476638,7001023,6501194,6476648,7002334,6501190,6476650,7001315,6501196,6476646,7002902,6501194,6476648,7002704,6501210,6476648,7001258,6501200,6476648,7000824,6501182,6476646
14592,7019962,6527359,6503162,7018110,6527360,6503170,7018658,6527373,6503166,7019381,6527382,6503166,7019956,6527367,6503154,7020920,6527370,6503168,7019868,6527371,6503166,7021042,6527363,6503168,7021137,6527373,6503166,7018220,6527380,6503164
14848,7036984,6553588,6529730,7037807,6553583,6529725,7036496,6553596,6529717,7039751,6553588,6529709,7039492,6553592,6529713,7038724,6553592,6529718,7037272,6553592,6529735,7038379,6553594,6529717,7037544,6553586,6529712,7039252,6553588,6529725
15104,7054321,6579824,6556302,7054628,6579836,6556302,7057088,6579840,6556296,7056294,6579824,6556296,7056146,6579824,6556294,7056944,6579830,6556302,7055864,6579836,6556298,7054793,6579826,6556300,7057032,6579836,6556294,7056668,6579842,6556302
15360,7074882,6606058,6582864,7075026,6606052,6582867,7073610,6606060,6582862,7072508,6606054,6582865,7074316,6606065,6582861,7074775,6606046,6582873,7073122,6606050,6582855,7074332,6606057,6582868,7075321,6606052,6582861,7075872,6606059,6582855
15616,7091377,6632282,6609428,7094670,6632285,6609428,7091535,6632280,6609430,7092313,6632272,6609432,7091406,6632286,6609434,7091228,6632281,6609436,7091538,6632285,6609446,7092083,6632284,6609430,7092559,6632284,6609432,7093035,6632292,6609428
15872,7110470,6658482,6635948,7111164,6658466,6635965,7107862,6658465,6635955,7111606,6658474,6635953,7112504,6658471,6635965,7110361,6658476,6635963,7109462,6658483,6635969,7111808,6658470,6635964,7108732,6658464,6635948,7109698,6658461,6635959
16128,7127144,6684690,6662516,7127708,6684687,6662516,7128030,6684689,6662502,7129221,6684685,6662510,7129430,6684693,6662518,7128766,6684686,6662500,7129377,6684683,6662518,7127890,6684691,6662508,7127900,6684690,6662506,7127960,6684691,6662496
16384,7145475,6710942,6689082,7146252,6710942,6689097,7146816,6710928,6689093,7147128,6710940,6689091,7148180,6710932,6689091,7147598,6710940,6689088,7148140,6710936,6689096,7146053,6710936,6689107,7147530,6710934,6689099,7146144,6710926,6689092
16640,7164793,6737154,6715648,7164710,6737160,6715650,7164940,6737156,6715642,7164996,6737158,6715656,7165666,6737156,6715646,7165738,6737148,6715648,7166044,6737150,6715652,7164962,6737158,6715658,7164992,6737148,6715656,7165145,6737154,6715652
16896,7181758,6763340,6742166,7183458,6763332,6742176,7181846,6763352,6742162,7185417,6763340,6742170,7185015,6763326,6742166,7183564,6763338,6742166,7183208,6763354,6742184,7184096,6763338,6742168,7183672,6763330,6742168,7182802,6763336,6742172
